"NOC","Year","Athletes","Sports","Events","Is host","Mean Sex","Mean Sport Participation","Mean Event Participation","Bronze Last Olympics","Silver Last Olympics","Gold Last Olympics","Bronze","Silver","Gold","Total","Rank"
"Puerto Rico","1948","9","3","8","0","1","583.444444444444","33.1111111111111",NA,NA,NA,"1","0","0","1","34"
"United States","1952","279","18","133","0","0.780487804878049","1071.9578713969","96.1707317073171","19","27","38","17","19","40","76","1"
"Soviet Union","1952","295","18","141","0","0.784922394678492","1084.39024390244","96.6164079822616",NA,NA,NA,"19","30","22","71","2"
"Hungary","1952","188","15","107","0","0.747826086956522","1190.8","116.060869565217","12","5","10","16","10","16","42","3"
"Sweden","1952","205","17","124","0","0.774647887323944","1132.91830985915","94.8732394366197","17","11","16","10","13","12","35","4"
"Italy","1952","231","19","114","0","0.795212765957447","1100.14095744681","113.183510638298","8","11","8","4","9","8","21","5"
"Czechoslovakia","1952","99","11","70","0","0.720183486238532","1588.52752293578","123.720183486239","3","2","6","3","3","7","13","6"
"France","1952","245","18","131","0","0.779411764705882","1109.01715686275","100.419117647059","13","6","10","6","6","6","18","7"
"Finland","1952","258","18","139","1","0.786407766990291","1130.34708737864","97.0558252427184","5","7","8","13","3","6","22","8"
"Australia","1952","81","12","67","0","0.871428571428571","656.264285714286","67.85","5","6","2","3","2","6","11","9"
"Norway","1952","102","14","72","0","0.9","1303.55263157895","115.452631578947","3","3","1","0","2","3","5","10"
"Switzerland","1952","157","17","96","0","0.952191235059761","1003.68924302789","104.274900398406","5","10","5","6","6","2","14","11"
"South Africa","1952","64","13","59","0","0.917431192660551","921.376146788991","87.0642201834862","1","1","2","4","4","2","10","12"
"Jamaica","1952","8","2","10","0","0.8125","1224.625","59.25","0","2","1","0","3","2","5","13"
"Belgium","1952","134","16","74","0","0.956521739130435","721.396739130435","100.625","3","2","2","0","2","2","4","14"
"Denmark","1952","128","15","73","0","0.900497512437811","978.353233830846","106.009950248756","8","7","5","3","1","2","6","15"
"Turkey","1952","51","4","31","0","1","647.793103448276","135.879310344828","2","4","6","1","0","2","3","16"
"Japan","1952","69","13","60","0","0.87218045112782","1174.02255639098","93.1353383458647",NA,NA,NA,"2","6","1","9","17"
"Great Britain","1952","256","18","127","0","0.748129675810474","1062.28678304239","92.0972568578554","6","14","3","8","2","1","11","18"
"Argentina","1952","123","15","77","0","0.896551724137931","664.82183908046","87.6551724137931","1","3","3","2","2","1","5","19"
"Poland","1952","125","11","74","0","0.701612903225806","1482.98790322581","123.810483870968","1","0","0","1","2","1","4","20"
"Canada","1952","107","13","74","0","0.831168831168831","620.655844155844","70.7532467532468","2","1","0","0","2","1","3","21"
"Yugoslavia","1952","87","11","48","0","0.701030927835051","1696.03092783505","138.809278350515","0","2","0","0","2","1","3","21"
"Romania","1952","114","15","67","0","0.746887966804979","1412.377593361","136.091286307054",NA,NA,NA,"2","1","1","4","23"
"Brazil","1952","97","14","51","0","0.932773109243697","445.067226890756","109.798319327731","1","0","0","2","0","1","3","24"
"New Zealand","1952","14","5","14","0","0.8","772.3","45.95",NA,NA,NA,"2","0","1","3","24"
"India","1952","64","11","42","0","0.925531914893617","717.31914893617","132.478723404255","0","0","1","1","0","1","2","26"
"Luxembourg","1952","44","9","32","0","1","1440.77227722772","145.514851485149",NA,NA,NA,"0","0","1","1","27"
"Germany","1952","205","18","123","0","0.750684931506849","1131.11780821918","102.794520547945",NA,NA,NA,"17","7","0","24","28"
"Netherlands","1952","104","14","57","0","0.516666666666667","1061.08888888889","103.511111111111","9","2","5","0","5","0","5","29"
"Iran","1952","22","4","22","0","1","316.173913043478","23.0869565217391","1","0","0","4","3","0","7","30"
"Chile","1952","59","9","33","0","0.939024390243902","531.292682926829","121.573170731707",NA,NA,NA,"0","2","0","2","31"
"Austria","1952","112","16","70","0","0.705882352941177","1430.1512605042","127.352941176471","3","0","1","1","1","0","2","32"
"Lebanon","1952","9","4","8","0","1","256.222222222222","29.4444444444444",NA,NA,NA,"1","1","0","2","32"
"Ireland","1952","275","18","127","0","0.762910798122066","1028.06807511737","89.5962441314554",NA,NA,NA,"0","1","0","1","34"
"Mexico","1952","64","13","35","0","0.964705882352941","333.764705882353","101.717647058824","2","1","2","0","1","0","1","34"
"Spain","1952","27","7","21","0","1","646.952380952381","102.880952380952","0","1","0","0","1","0","1","34"
"South Korea","1952","19","6","16","0","0.954545454545455","567.590909090909","56.5909090909091","2","0","0","2","0","0","2","37"
"Trinidad and Tobago","1952","2","1","2","0","1","142","21","0","1","0","2","0","0","2","37"
"Uruguay","1952","32","9","16","0","0.976190476190476","370.119047619048","130.571428571429","1","1","0","2","0","0","2","37"
"Bulgaria","1952","63","8","34","0","0.675977653631285","1739.16201117318","160.798882681564",NA,NA,NA,"1","0","0","1","40"
"Egypt","1952","106","14","65","0","1","1074.8112244898","133.709183673469","1","2","2","1","0","0","1","40"
"Portugal","1952","71","10","45","0","0.903225806451613","1249.1935483871","116.038709677419","1","1","0","1","0","0","1","40"
"Venezuela","1952","38","8","37","0","0.968253968253968","595.603174603175","57.3174603174603",NA,NA,NA,"1","0","0","1","40"
"Soviet Union","1956","281","18","141","0","0.81021897810219","541.498783454988","50.7834549878346","19","30","22","32","29","37","98","1"
"United States","1956","300","19","144","0","0.778781038374718","537.196388261851","51.9954853273138","17","19","40","17","25","32","74","2"
"Australia","1956","298","19","143","1","0.827669902912621","511.565533980583","52.8252427184466","3","2","6","14","8","13","35","3"
"Hungary","1956","111","13","82","0","0.690355329949239","522.467005076142","45.7157360406091","16","10","16","7","10","9","26","4"
"Italy","1956","135","14","80","0","0.72463768115942","499.057971014493","50.2270531400966","4","9","8","9","8","8","25","5"
"Sweden","1956","97","15","80","0","0.698924731182796","521.440860215054","46.5430107526882","10","13","12","6","5","8","19","6"
"Great Britain","1956","197","18","113","0","0.830388692579505","478.597173144876","53.1660777385159","8","2","1","11","7","6","24","8"
"Romania","1956","50","11","39","0","0.543689320388349","541.029126213592","48.2038834951456","2","1","1","5","3","5","13","9"
"Japan","1956","112","14","72","0","0.738738738738739","617.472972972973","59.8558558558559","2","6","1","5","10","4","19","10"
"France","1956","145","16","101","0","0.841409691629956","478.422907488987","50.4493392070485","6","6","6","6","4","4","14","11"
"Turkey","1956","19","2","20","0","1","239.142857142857","32.4642857142857","1","0","2","2","2","3","7","12"
"Finland","1956","71","15","67","0","0.993197278911565","572.027210884354","43.8367346938776","13","3","6","11","1","3","15","13"
"Iran","1956","17","3","17","0","1","254.176470588235","16.2352941176471","4","3","0","1","2","2","5","14"
"Canada","1956","96","15","84","0","0.773333333333333","472.593333333333","52.6533333333333","0","2","1","3","1","2","6","15"
"New Zealand","1956","51","9","28","0","0.807017543859649","383.315789473684","68.3157894736842","2","0","1","0","0","2","2","16"
"Poland","1956","64","9","48","0","0.508474576271186","703.593220338983","41.9830508474576","1","2","1","4","4","1","9","17"
"Czechoslovakia","1956","63","10","54","0","0.695652173913043","720.04347826087","53.7950310559006","3","3","7","1","4","1","6","18"
"Bulgaria","1956","46","7","31","0","0.817073170731707","503.621951219512","81.7560975609756","1","0","0","1","3","1","5","19"
"Denmark","1956","37","11","29","0","0.843137254901961","296.450980392157","35.6470588235294","3","1","2","1","2","1","4","20"
"Ireland","1956","215","18","116","0","0.837662337662338","469.308441558442","52.0681818181818","0","1","0","3","1","1","5","21"
"Norway","1956","22","6","18","0","0.793103448275862","383.034482758621","34.3448275862069","0","2","3","2","0","1","3","22"
"Mexico","1956","24","10","20","0","0.916666666666667","255.5","43.25","0","1","0","1","0","1","2","23"
"Brazil","1956","47","12","30","0","0.984126984126984","368.428571428571","66.8095238095238","2","0","1","0","0","1","1","24"
"India","1956","58","8","32","0","0.987341772151899","466.430379746835","92.6708860759494","1","0","1","0","0","1","1","24"
"Yugoslavia","1956","35","8","16","0","0.891891891891892","340.756756756757","86.1081081081081","0","2","1","0","3","0","3","26"
"Chile","1956","33","8","22","0","0.953488372093023","365.116279069767","66.4186046511628","0","2","0","2","2","0","4","27"
"Belgium","1956","57","13","39","0","0.939024390243902","336.682926829268","60.8292682926829","0","2","2","0","2","0","2","28"
"Argentina","1956","35","9","32","0","0.977272727272727","248.454545454545","34.0227272727273","2","2","1","1","1","0","2","29"
"South Korea","1956","35","7","23","0","1","356.555555555556","68.3055555555556","2","0","0","1","1","0","2","29"
"Iceland","1956","2","1","2","0","1","1013","48.5",NA,NA,NA,"0","1","0","1","31"
"Pakistan","1956","53","8","43","0","1","509.898734177215","64.6075949367089",NA,NA,NA,"0","1","0","1","31"
"South Africa","1956","50","10","50","0","0.855555555555556","436.877777777778","41.4222222222222","4","4","2","4","0","0","4","33"
"Austria","1956","34","12","36","0","0.912280701754386","356.701754385965","42.3157894736842","1","1","0","2","0","0","2","34"
"Bahamas","1956","4","2","4","0","1","497.6","40.2",NA,NA,NA,"1","0","0","1","35"
"Greece","1956","13","5","13","0","1","656.9375","25.6875",NA,NA,NA,"1","0","0","1","35"
"Switzerland","1956","9","1","6","0","1","298","49.6666666666667","6","6","2","1","0","0","1","35"
"Uruguay","1956","21","5","8","0","1","263.137931034483","106.103448275862","2","0","0","1","0","0","1","35"
"Soviet Union","1960","283","17","145","0","0.760869565217391","880.37922705314","73.7125603864734","32","29","37","31","29","43","103","1"
"United States","1960","289","17","147","0","0.761682242990654","870.647196261682","73.1028037383178","17","25","32","16","21","34","71","2"
"Italy","1960","280","19","138","1","0.803482587064677","789.328358208955","92.3283582089552","9","8","8","13","10","13","36","3"
"Australia","1960","189","17","122","0","0.8","659.782142857143","75.0035714285714","14","8","13","6","8","8","22","5"
"Turkey","1960","49","6","41","0","0.931034482758621","623","83.5172413793103","2","2","3","0","2","7","9","6"
"Hungary","1960","183","18","107","0","0.772435897435897","852.589743589744","91.6666666666667","7","10","9","7","8","6","21","7"
"Japan","1960","161","17","96","0","0.784172661870504","885.744604316547","94.6978417266187","5","10","4","7","7","4","18","8"
"Poland","1960","185","17","108","0","0.775244299674267","936.684039087948","93.3257328990228","4","4","1","11","6","4","21","9"
"Czechoslovakia","1960","116","13","75","0","0.757425742574257","1084.73267326733","91.539603960396","1","4","1","3","2","3","8","10"
"Romania","1960","98","13","65","0","0.685897435897436","756.634615384615","77.8269230769231","5","3","5","6","1","3","10","11"
"Great Britain","1960","253","17","130","0","0.750642673521851","876.380462724936","84.3213367609254","11","7","6","12","6","2","20","12"
"Denmark","1960","99","15","46","0","0.880733944954128","401.642201834862","96.2018348623853","1","2","1","1","3","2","6","13"
"New Zealand","1960","37","9","28","0","0.872340425531915","776.170212765957","100.978723404255","0","0","2","1","0","2","3","14"
"Bulgaria","1960","97","12","66","0","0.781420765027322","1016.27868852459","108.956284153005","1","3","1","3","3","1","7","15"
"Sweden","1960","133","15","100","0","0.786821705426357","949.558139534884","80.9108527131783","6","5","8","3","2","1","6","16"
"Finland","1960","117","14","92","0","0.817351598173516","1035.90867579909","82.7579908675799","11","1","3","3","1","1","5","17"
"Austria","1960","103","15","81","0","0.727272727272727","1011.76262626263","84.6414141414141","2","0","0","0","1","1","2","18"
"Yugoslavia","1960","116","14","64","0","0.881081081081081","951.135135135135","109.372972972973","0","3","0","0","1","1","2","18"
"Pakistan","1960","43","7","35","0","1","661.075471698113","88.6603773584906","0","1","0","1","0","1","2","20"
"Ethiopia","1960","10","2","8","0","1","837.866666666667","97.1333333333333",NA,NA,NA,"0","0","1","1","21"
"Greece","1960","48","8","38","0","1","770.559322033898","58.2881355932203","1","0","0","0","0","1","1","21"
"Norway","1960","40","11","39","0","0.98","770.02","62.56","2","0","1","0","0","1","1","21"
"Switzerland","1960","149","16","90","0","0.990950226244344","783.805429864253","88.6651583710407","1","0","0","3","3","0","6","24"
"France","1960","238","19","120","0","0.801652892561983","807.214876033058","97.4628099173554","6","4","4","3","2","0","5","25"
"Belgium","1960","100","16","64","0","0.866666666666667","764.986666666667","100.333333333333","0","2","0","2","2","0","4","26"
"Iran","1960","23","5","24","0","1","338.25","30.125","1","2","2","3","1","0","4","27"
"Netherlands","1960","110","13","54","0","0.56875","765.79375","94.03125",NA,NA,NA,"2","1","0","3","28"
"South Africa","1960","55","12","46","0","0.916666666666667","613.680555555556","65.9027777777778","4","0","0","2","1","0","3","28"
"Argentina","1960","92","15","54","0","0.991379310344828","451.387931034483","89.0862068965517","1","1","0","1","1","0","2","30"
"Egypt","1960","0","0","0","0","NaN","NaN","NaN",NA,NA,NA,"1","1","0","2","30"
"Canada","1960","85","14","77","0","0.771428571428571","789.521428571429","66.2785714285714","3","1","2","0","1","0","1","32"
"Formosa","1960","289","17","147","0","0.761682242990654","870.647196261682","73.1028037383178",NA,NA,NA,"0","1","0","1","32"
"Ghana","1960","13","2","12","0","1","899.6","50.1333333333333",NA,NA,NA,"0","1","0","1","32"
"India","1960","45","6","20","0","1","583.510204081633","141.448979591837","0","0","1","0","1","0","1","32"
"Morocco","1960","47","10","45","0","1","1035.47747747748","92.5405405405405",NA,NA,NA,"0","1","0","1","32"
"Portugal","1960","65","11","52","0","0.844036697247706","738.715596330275","82.6880733944954",NA,NA,NA,"0","1","0","1","32"
"Singapore","1960","5","3","3","0","1","286.2","68.6",NA,NA,NA,"0","1","0","1","32"
"Brazil","1960","72","14","35","0","0.988372093023256","359.03488372093","114.244186046512","0","0","1","2","0","0","2","39"
"Iraq","1960","21","5","23","0","1","936.464285714286","49.2142857142857",NA,NA,NA,"1","0","0","1","41"
"Mexico","1960","69","14","55","0","0.881818181818182","552.181818181818","77.8090909090909","1","0","1","1","0","0","1","41"
"Spain","1960","143","16","83","0","0.827731092436975","902.886554621849","103.352941176471",NA,NA,NA,"1","0","0","1","41"
"Venezuela","1960","36","9","26","0","0.833333333333333","668.351851851852","69.0925925925926",NA,NA,NA,"1","0","0","1","41"
"United States","1964","344","19","159","0","0.723577235772358","766.855691056911","63.4674796747967","16","21","34","28","26","36","90","1"
"Soviet Union","1964","316","19","154","0","0.755939524838013","775.388768898488","64.475161987041","31","29","43","35","31","30","96","2"
"Japan","1964","328","21","155","1","0.776315789473684","711.760964912281","74.6008771929825","7","7","4","8","5","16","29","3"
"Italy","1964","167","18","91","0","0.9296875","692.3828125","79.78515625","13","10","13","7","10","10","27","5"
"Hungary","1964","182","17","111","0","0.749216300940439","807.799373040752","81.0094043887147","7","8","6","5","7","10","22","6"
"Poland","1964","139","12","87","0","0.741666666666667","932.870833333333","78.05","11","6","4","10","6","7","23","7"
"Australia","1964","243","19","133","0","0.767857142857143","756.625","73.609693877551","6","8","8","10","2","6","18","8"
"Czechoslovakia","1964","104","13","64","0","0.786096256684492","925.171122994652","95.9786096256685","3","2","3","3","6","5","14","9"
"Great Britain","1964","204","17","124","0","0.757475083056478","746.548172757475","62.6013289036545","12","6","2","2","12","4","18","10"
"Bulgaria","1964","63","9","56","0","0.870689655172414","951.681034482759","81.9137931034483","3","3","1","2","5","3","10","11"
"Finland","1964","89","13","64","0","0.913907284768212","883.960264900662","82.2980132450331","3","1","1","2","0","3","5","12"
"New Zealand","1964","63","11","35","0","0.738636363636364","752.090909090909","95.5","1","0","2","2","0","3","5","12"
"Romania","1964","138","13","76","0","0.724137931034483","783.443965517241","89.4913793103448","6","1","3","6","4","2","12","14"
"Netherlands","1964","125","12","57","0","0.80379746835443","478.96835443038","81.0506329113924","2","1","0","4","4","2","10","15"
"Turkey","1964","23","4","24","0","1","493.24","24.96","0","2","7","1","3","2","6","16"
"Sweden","1964","94","13","72","0","0.697142857142857","841.514285714286","63.8914285714286","3","2","1","4","2","2","8","17"
"Denmark","1964","60","10","40","0","0.859154929577465","420.056338028169","53","1","3","2","3","1","2","6","18"
"Yugoslavia","1964","75","9","32","0","0.967479674796748","843.959349593496","125.089430894309","0","1","1","2","1","2","5","19"
"Belgium","1964","61","13","36","0","0.932432432432432","566.945945945946","107.716216216216","2","2","0","1","0","2","3","20"
"France","1964","138","14","89","0","0.813084112149533","815.411214953271","66.1355140186916","3","2","0","6","8","1","15","21"
"Canada","1964","115","16","92","0","0.77319587628866","683.350515463918","76.8092783505155","0","1","0","1","2","1","4","22"
"Switzerland","1964","66","13","51","0","0.984496124031008","894.31007751938","80.2325581395349","3","3","0","1","2","1","4","22"
"Bahamas","1964","11","2","6","0","1","595","54.4166666666667",NA,NA,NA,"0","0","1","1","24"
"Ethiopia","1964","12","3","11","0","1","794.473684210526","83.6315789473684","0","0","1","0","0","1","1","24"
"India","1964","52","8","42","0","0.990990990990991","971","107.135135135135","0","1","0","0","0","1","1","24"
"South Korea","1964","153","17","93","0","0.816666666666667","703.866666666667","90.8583333333333",NA,NA,NA,"1","2","0","3","27"
"Trinidad and Tobago","1964","13","4","10","0","1","883.444444444444","47.9444444444444",NA,NA,NA,"2","1","0","3","28"
"Tunisia","1964","9","3","9","0","1","1052.08333333333","38.5833333333333",NA,NA,NA,"1","1","0","2","29"
"Argentina","1964","102","14","78","0","0.925675675675676","503.02027027027","70.5878378378378","1","1","0","0","1","0","1","30"
"Cuba","1964","27","6","24","0","0.960526315789474","1119.34210526316","107.131578947368",NA,NA,NA,"0","1","0","1","30"
"Pakistan","1964","41","7","29","0","1","469.148936170213","104.148936170213","1","0","1","0","1","0","1","30"
"Philippines","1964","47","10","45","0","0.8","748.014285714286","64.1571428571429",NA,NA,NA,"0","1","0","1","30"
"Iran","1964","62","11","58","0","0.895833333333333","598.1875","88.5208333333333","3","1","0","2","0","0","2","34"
"Brazil","1964","61","11","17","0","0.984615384615385","271.6","128.230769230769","2","0","0","1","0","0","1","35"
"Ghana","1964","33","3","18","0","0.9","756.1","108.125","0","1","0","1","0","0","1","35"
"Ireland","1964","229","17","125","0","0.776785714285714","727.157738095238","60.6815476190476",NA,NA,NA,"1","0","0","1","35"
"Kenya","1964","37","5","21","0","1","645.341463414634","117.292682926829",NA,NA,NA,"1","0","0","1","35"
"Mexico","1964","93","15","58","0","0.953125","383.125","76.609375","1","0","0","1","0","0","1","35"
"Nigeria","1964","18","2","12","0","0.894736842105263","1110.57894736842","47.6315789473684",NA,NA,NA,"1","0","0","1","35"
"Uruguay","1964","23","4","8","0","1","331.275862068966","129.206896551724",NA,NA,NA,"1","0","0","1","35"
"United States","1968","355","18","167","0","0.712665406427221","884.349716446125","65.1228733459357","28","26","36","34","28","45","107","1"
"Soviet Union","1968","311","18","164","0","0.738853503184713","840.632696390658","67.8089171974522","35","31","30","30","32","29","91","2"
"Japan","1968","171","18","97","0","0.771626297577855","873.975778546713","95.7508650519031","8","5","16","7","7","11","25","3"
"Hungary","1968","166","15","116","0","0.726072607260726","910.719471947195","81.8052805280528","5","7","10","12","10","10","32","4"
"East Germany","1968","225","18","124","0","0.760115606936416","877.026011560694","77.0664739884393",NA,NA,NA,"7","9","9","25","5"
"France","1968","200","16","107","0","0.736334405144695","825.379421221865","86.4533762057878","6","8","1","5","3","7","15","6"
"Czechoslovakia","1968","121","14","66","0","0.704433497536946","876.536945812808","99.9655172413793","3","6","5","4","2","7","13","7"
"West Germany","1968","275","17","154","0","0.773148148148148","880.199074074074","72.3726851851852",NA,NA,NA,"10","11","5","26","8"
"Australia","1968","128","16","105","0","0.727678571428571","829.6875","68.9330357142857","10","2","6","5","7","5","17","9"
"Great Britain","1968","225","16","133","0","0.716463414634146","842.280487804878","66.5426829268293","2","12","4","3","5","5","13","10"
"Poland","1968","177","16","112","0","0.739864864864865","847.101351351351","75.7331081081081","10","6","7","11","2","5","18","11"
"Romania","1968","82","9","64","0","0.79","506.02","43.08","6","4","2","5","6","4","15","12"
"Italy","1968","167","17","103","0","0.876865671641791","798.548507462687","77.089552238806","7","10","10","9","4","3","16","13"
"Kenya","1968","39","4","22","0","0.94","900.1","106.7","1","0","0","2","4","3","9","14"
"Mexico","1968","272","20","146","1","0.769058295964126","769.163677130045","87.2668161434978","1","0","0","3","3","3","9","15"
"Yugoslavia","1968","69","11","54","0","0.815384615384615","975.892307692308","98.9769230769231","2","1","2","2","3","3","8","16"
"Netherlands","1968","107","11","52","0","0.692857142857143","656.471428571429","90.0642857142857","4","4","2","1","3","3","7","17"
"Bulgaria","1968","112","13","69","0","0.798941798941799","865.402116402116","103.074074074074","2","5","3","3","4","2","9","18"
"Iran","1968","14","3","14","0","1","355.857142857143","21.5714285714286","2","0","0","2","1","2","5","19"
"Sweden","1968","100","13","95","0","0.806451612903226","904.741935483871","64.0537634408602","4","2","2","1","1","2","4","20"
"Turkey","1968","29","4","29","0","1","473","33.7666666666667","1","3","2","0","0","2","2","21"
"Denmark","1968","62","11","53","0","0.89247311827957","732.516129032258","69.7096774193548","3","1","2","3","4","1","8","22"
"Canada","1968","139","14","124","0","0.728522336769759","919.577319587629","65.2439862542955","1","2","1","1","3","1","5","23"
"Finland","1968","66","13","61","0","0.904761904761905","909.595238095238","73.0079365079365","2","0","3","1","2","1","4","24"
"Ethiopia","1968","18","3","13","0","1","920.076923076923","72.0384615384615","0","0","1","0","1","1","2","25"
"Norway","1968","46","11","36","0","0.546511627906977","927.104651162791","77.3255813953488",NA,NA,NA,"0","1","1","2","25"
"New Zealand","1968","52","8","26","0","0.784615384615385","669.446153846154","108.338461538462","2","0","3","2","0","1","3","27"
"Tunisia","1968","7","2","7","0","1","826","37.25","1","1","0","1","0","1","2","28"
"Pakistan","1968","15","2","3","0","1","263.666666666667","222.4","0","1","0","0","0","1","1","29"
"Venezuela","1968","23","5","17","0","1","648.533333333333","61.8333333333333",NA,NA,NA,"0","0","1","1","29"
"Cuba","1968","115","13","78","0","0.779735682819383","945.898678414097","85.84140969163","0","1","0","0","4","0","4","31"
"Austria","1968","43","12","37","0","0.813559322033898","614.016949152542","48.7796610169492",NA,NA,NA,"2","2","0","4","32"
"Switzerland","1968","85","12","68","0","0.948387096774194","942.116129032258","68.8387096774194","1","2","1","4","1","0","5","33"
"Mongolia","1968","16","4","26","0","0.578947368421053","1047.13157894737","77.8947368421053",NA,NA,NA,"3","1","0","4","34"
"Brazil","1968","75","13","27","0","0.955056179775281","394.202247191011","133.213483146067","1","0","0","2","1","0","3","35"
"Belgium","1968","82","13","55","0","0.849056603773585","727.933962264151","95.5471698113208","1","0","2","1","1","0","2","36"
"South Korea","1968","54","11","43","0","0.772727272727273","483.621212121212","78.2575757575758","1","2","0","1","1","0","2","36"
"Uganda","1968","11","2","14","0","1","751.857142857143","40.1428571428571",NA,NA,NA,"1","1","0","2","36"
"Cameroon","1968","5","2","5","0","1","514.6","33.2",NA,NA,NA,"0","1","0","1","39"
"Jamaica","1968","25","5","21","0","0.685714285714286","1062.77142857143","51",NA,NA,NA,"0","1","0","1","39"
"Argentina","1968","89","12","60","0","0.931818181818182","558.560606060606","83.3939393939394","0","1","0","2","0","0","2","41"
"Greece","1968","44","7","27","0","1","442.818181818182","71.5909090909091",NA,NA,NA,"1","0","0","1","42"
"India","1968","23","5","11","0","1","362.703703703704","163.407407407407","0","0","1","1","0","0","1","42"
"Soviet Union","1972","371","22","180","0","0.747645951035782","873.474576271186","84.924670433145","30","32","29","22","27","50","99","1"
"United States","1972","397","21","185","0","0.731833910034602","947.531141868512","78.3166089965398","34","28","45","30","31","33","94","2"
"East Germany","1972","297","18","161","0","0.718061674008811","973.764317180617","79.931718061674","7","9","9","23","23","20","66","3"
"West Germany","1972","424","23","183","1","0.747870528109029","890.625212947189","87.8773424190801","10","11","5","16","11","13","40","4"
"Japan","1972","184","21","113","0","0.73037542662116","883.180887372014","88.0307167235495","7","7","11","8","8","13","29","5"
"Australia","1972","168","20","110","0","0.725563909774436","873.898496240602","86.8684210526316","5","7","5","2","7","8","17","6"
"Poland","1972","290","22","150","0","0.813397129186603","812.913875598086","98.4593301435407","11","2","5","9","5","7","21","7"
"Hungary","1972","226","20","134","0","0.735694822888283","872.574931880109","89.8991825613079","12","10","10","16","13","6","35","8"
"Bulgaria","1972","129","15","92","0","0.738938053097345","954.407079646018","80.853982300885","3","4","2","5","10","6","21","9"
"Italy","1972","223","19","123","0","0.794202898550725","936.588405797101","82.7594202898551","9","4","3","10","3","5","18","10"
"Sweden","1972","131","18","90","0","0.731182795698925","809.209677419355","77.3655913978495","1","1","2","6","6","4","16","11"
"Great Britain","1972","284","18","159","0","0.66743648960739","958.842956120092","69.7875288683603","3","5","5","9","5","4","18","12"
"Romania","1972","159","16","102","0","0.751937984496124","881.554263565891","89.0813953488372","5","6","4","7","6","3","16","13"
"Cuba","1972","137","14","69","0","0.825870646766169","796.945273631841","92.6865671641791","0","4","0","4","1","3","8","14"
"Finland","1972","96","16","75","0","0.864661654135338","924.503759398496","63.984962406015","1","2","1","4","1","3","8","14"
"Netherlands","1972","119","16","72","0","0.57286432160804","848.140703517588","94.537688442211","1","3","3","1","1","3","5","16"
"France","1972","227","18","132","0","0.792134831460674","970.162921348315","84.1179775280899","5","3","7","7","4","2","13","17"
"Czechoslovakia","1972","181","17","93","0","0.740875912408759","921.204379562044","96.6094890510949","4","2","7","2","4","2","8","18"
"Kenya","1972","57","4","29","0","0.956521739130435","984.405797101449","111.260869565217","2","4","3","4","3","2","9","19"
"Yugoslavia","1972","126","15","73","0","0.787735849056604","985.259433962264","107.707547169811","2","3","3","2","1","2","5","20"
"Norway","1972","112","15","70","0","0.739130434782609","855.565217391304","97.6521739130435","0","1","1","1","1","2","4","21"
"North Korea","1972","37","10","23","0","0.831325301204819","1085.13253012048","90.7469879518072",NA,NA,NA,"3","1","1","5","22"
"New Zealand","1972","89","14","63","0","0.848214285714286","835.848214285714","103.3125","2","0","1","1","1","1","3","23"
"Uganda","1972","33","3","19","0","0.942857142857143","690.371428571429","151.571428571429","1","1","0","0","1","1","2","24"
"Denmark","1972","126","17","73","0","0.883870967741936","605.329032258065","105.838709677419","3","4","1","0","0","1","1","25"
"Switzerland","1972","151","17","116","0","0.713207547169811","978.498113207547","74.1132075471698","4","1","0","0","3","0","3","26"
"Canada","1972","207","18","136","0","0.686046511627907","899.558139534884","67.9040697674419","1","3","1","3","2","0","5","27"
"Iran","1972","48","7","33","0","1","466.678571428571","117.25","2","1","2","1","2","0","3","28"
"Belgium","1972","88","14","51","0","0.924528301886792","680.783018867925","95.8962264150943","1","1","0","0","2","0","2","29"
"Greece","1972","60","9","46","0","0.909090909090909","716.121212121212","70.0606060606061","1","0","0","0","2","0","2","29"
"Austria","1972","111","15","68","0","0.853146853146853","581.06993006993","68.7832167832168","2","2","0","2","1","0","3","31"
"Colombia","1972","59","8","39","0","0.84","674.8","107.2",NA,NA,NA,"2","1","0","3","31"
"Argentina","1972","92","12","62","0","0.91869918699187","594.162601626016","93.6585365853659","2","0","0","0","1","0","1","33"
"Lebanon","1972","19","9","23","0","0.944444444444444","666.361111111111","58.3333333333333",NA,NA,NA,"0","1","0","1","33"
"Mexico","1972","171","20","112","0","0.747330960854093","776.448398576512","96.9110320284697","3","3","3","0","1","0","1","33"
"Mongolia","1972","39","7","39","0","0.954545454545455","363.590909090909","37.4545454545455","3","1","0","0","1","0","1","33"
"Pakistan","1972","24","5","12","0","1","606.730769230769","169.846153846154","0","0","1","0","1","0","1","33"
"South Korea","1972","42","8","24","0","0.767441860465116","401.372093023256","73.4651162790698","1","1","0","0","1","0","1","33"
"Tunisia","1972","35","5","11","0","1","486.918918918919","159.054054054054","1","0","1","0","1","0","1","33"
"Turkey","1972","43","8","43","0","0.98","620.7","57.94","0","0","2","0","1","0","1","33"
"Brazil","1972","80","13","44","0","0.932692307692308","632.557692307692","116.230769230769","2","1","0","2","0","0","2","41"
"Ethiopia","1972","31","3","20","0","1","1254.2","82.7","0","1","1","2","0","0","2","41"
"Ghana","1972","35","3","17","0","0.902439024390244","938.09756097561","139.878048780488",NA,NA,NA,"1","0","0","1","43"
"India","1972","41","7","27","0","0.976744186046512","621.093023255814","113.883720930233","1","0","0","1","0","0","1","43"
